,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
BMP BMP2 EPI MES positive target,Bmp2,Sostdc1,+,+,E13,Epi,Mes,,2003,"Laurikkala J, Kassai Y, Pakkasjärvi L, Thesleff I, Itoh N. Identification of a secreted BMP antagonist, ectodin, integrating BMP, FGF, and SHH signals from the tooth enamel knot. Developmental biology 2003 vol. 264 (1) pp. 91-105"
BMP BMP2 EPI EPI positive target,Bmp2,Sostdc1,+,+,E13,Epi,Epi,,2003,"Laurikkala J, Kassai Y, Pakkasjärvi L, Thesleff I, Itoh N. Identification of a secreted BMP antagonist, ectodin, integrating BMP, FGF, and SHH signals from the tooth enamel knot. Developmental biology 2003 vol. 264 (1) pp. 91-105"
BMP BMP2 EPI EPI positive target,Bmp2,Cdkn1a,+,+,E15,Epi,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP2 EPI EPI positive target,Bmp2,Ambn,+,+,E15,Epi,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP2 EPI MES negative target,Bmp2,Pax9,+,-,E10,Epi,Mes,,1997,"Neubüser A, Peters H, Balling R, Martin GR. Antagonistic interactions between FGF and BMP signaling pathways: a mechanism for positioning the sites of tooth formation. Cell 1997 vol. 90 (2) pp. 247-55"
BMP BMP2 EPI EPI negative target,Bmp2,Tbx1,+,-,E12,Epi,Epi,,2008,"Mitsiadis TA, Tucker AS, De Bari C, Cobourne MT, Rice DP. A regulatory relationship between Tbx1 and FGF signaling during tooth morphogenesis and ameloblast lineage determination. Developmental biology 2008 vol. 320 (1) pp. 39-48"
BMP BMP2 EPI EPI negative target,Bmp2,Jag2,+,-,E12,Epi,Epi,,2010,"Mitsiadis TA, Graf D, Luder H, Gridley T, Bluteau G. BMPs and FGFs target Notch signalling via jagged 2 to regulate tooth morphogenesis and cytodifferentiation. Development 2010 vol. 137 (18) pp. 3025-35"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Ptch1,+,o,E11,Epi,Mes,,1999,"Zhang Y, Zhao X, Hu Y, St Amand T, Zhang M, Ramamurthy R, Qiu M, Chen Y. Msx1 is required for the induction of Patched by Sonic hedgehog in the mammalian tooth germ. Developmental dynamics 1999 vol. 215 (1) pp. 45-53"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Shh,+,o,E11,Epi,Epi,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Bmp2,+,o,E11,Epi,Epi,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Wnt10b,+,o,E11,Epi,Epi,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Ptch1,+,o,E11,Epi,Epi,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Gli1,+,o,E11,Epi,Epi,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Shh,+,o,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Bmp2,+,o,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Wnt10b,+,o,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Ptch1,+,o,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Gli1,+,o,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Runx2,+,o,E11,Epi,Mes,,1999,"D'Souza RN, Aberg T, Gaikwad J, Cavender A, Owen M, Karsenty G, Thesleff I. Cbfa1 is required for epithelial-mesenchymal interactions regulating tooth development in mice. Development 1999 vol. 126 (13) pp. 2911-20"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Runx2,+,o,E14,Epi,Mes,,1999,"D'Souza RN, Aberg T, Gaikwad J, Cavender A, Owen M, Karsenty G, Thesleff I. Cbfa1 is required for epithelial-mesenchymal interactions regulating tooth development in mice. Development 1999 vol. 126 (13) pp. 2911-20"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Fgf3,+,o,E13,Epi,Mes,,2000,"Kettunen P, Laurikkala J, Itäranta P, Vainio S, Itoh N, Thesleff I. Associations of FGF-3 and FGF-10 with signaling networks regulating tooth morphogenesis. Developmental dynamics 2000 vol. 219 (3) pp. 322-32"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Fgf10,+,o,E13,Epi,Mes,,2000,"Kettunen P, Laurikkala J, Itäranta P, Vainio S, Itoh N, Thesleff I. Associations of FGF-3 and FGF-10 with signaling networks regulating tooth morphogenesis. Developmental dynamics 2000 vol. 219 (3) pp. 322-32"
BMP BMP2 EPI MES NOT TARGET,Bmp2,Dan,+,o,E10,Epi,Mes,,2001,"Mandler M, Neubüser A. FGF signaling is necessary for the specification of the odontogenic mesenchyme. Developmental biology 2001 vol. 240 (2) pp. 548-59"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Eda,+,o,E12,Epi,Epi,,2001,"Laurikkala J, Mikkola M, Mustonen T, Aberg T, Koppinen P, Pispa J, Nieminen P, Galceran J, Grosschedl R, Thesleff I. TNF signaling via the ligand-receptor pair ectodysplasin and edar controls the function of epithelial signaling centers and is regulated by Wnt and activin during tooth organogenesis. Developmental biology 2001 vol. 229 (2) pp. 443-55"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Edar,+,o,E12,Epi,Epi,,2001,"Laurikkala J, Mikkola M, Mustonen T, Aberg T, Koppinen P, Pispa J, Nieminen P, Galceran J, Grosschedl R, Thesleff I. TNF signaling via the ligand-receptor pair ectodysplasin and edar controls the function of epithelial signaling centers and is regulated by Wnt and activin during tooth organogenesis. Developmental biology 2001 vol. 229 (2) pp. 443-55"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Lfng,+,o,E13,Epi,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Lfng,+,o,E12,Epi,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP2 EPI EPI NOT TARGET,Bmp2,Fst,+,o,E15,Epi,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP4 EPI MES positive target,Bmp4,Lef1,+,+,E11,Epi,Mes,Msx1,1996,"Chen Y, Bei M, Woo I, Satokata I, Maas RL. Msx1 controls inductive signaling in mammalian tooth morphogenesis. Development 1996 vol. 122 (10) pp. 3035-44"
BMP BMP4 EPI MES positive target,Bmp4,Egr1,+,+,E11,Epi,Mes,Msx1,1996,"Chen Y, Bei M, Woo I, Satokata I, Maas RL. Msx1 controls inductive signaling in mammalian tooth morphogenesis. Development 1996 vol. 122 (10) pp. 3035-44"
BMP BMP4 EPI MES positive target,Bmp4,Msx2,+,+,E11,Epi,Mes,Msx1,1996,"Chen Y, Bei M, Woo I, Satokata I, Maas RL. Msx1 controls inductive signaling in mammalian tooth morphogenesis. Development 1996 vol. 122 (10) pp. 3035-44"
BMP BMP4 EPI MES positive target,Bmp4,Dlx2,+,+,E11,Epi,Mes,Msx1,1998,"Bei M, Maas R. FGFs and BMP4 induce both Msx1-independent and Msx1-dependent signaling pathways in early tooth development. Development 1998 vol. 125 (21) pp. 4325-33"
BMP BMP4 EPI MES positive target,Bmp4,Ptch1,+,+,E11,Epi,Mes,Msx1,1999,"Zhang Y, Zhao X, Hu Y, St Amand T, Zhang M, Ramamurthy R, Qiu M, Chen Y. Msx1 is required for the induction of Patched by Sonic hedgehog in the mammalian tooth germ. Developmental dynamics 1999 vol. 215 (1) pp. 45-53"
BMP BMP4 MES MES positive target,Bmp4,Lef1,+,+,E13,Mes,Mes,Msx1,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES MES positive target,Bmp4,Dlx2,+,+,E13,Mes,Mes,Msx1,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES EPI positive target,Bmp4,Dlx2,+,+,E13,Mes,Epi,Msx1,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES EPI positive target,Bmp4,Shh,+,+,E13,Mes,Epi,Msx1,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES MES positive target,Bmp4,Dlx5,+,+,E13,Mes,Mes,Msx1,2003,"Zhang Z, Song Y, Zhang X, Tang J, Chen J, Chen Y. Msx1/Bmp4 genetic pathway regulates mammalian alveolar bone formation via induction of Dlx5 and Cbfa1. Mechanisms of development 2003 vol. 120 (12) pp. 1469-79"
BMP BMP4 EPI MES NOT TARGET,Bmp4,Bmp4,+,o,E11,Epi,Mes,Msx1,1996,"Chen Y, Bei M, Woo I, Satokata I, Maas RL. Msx1 controls inductive signaling in mammalian tooth morphogenesis. Development 1996 vol. 122 (10) pp. 3035-44"
BMP BMP4 MES MES NOT TARGET,Bmp4,Fgf3,+,o,E13,Mes,Mes,Msx1,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES MES NOT TARGET,Bmp4,Sdc1,+,o,E13,Mes,Mes,Msx1,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 MES MES NOT TARGET,Bmp4,Runx2,+,o,E13,Mes,Mes,Msx1,2003,"Zhang Z, Song Y, Zhang X, Tang J, Chen J, Chen Y. Msx1/Bmp4 genetic pathway regulates mammalian alveolar bone formation via induction of Dlx5 and Cbfa1. Mechanisms of development 2003 vol. 120 (12) pp. 1469-79"
BMP BMP4 EPI MES positive target,Bmp4,Msx2,+,+,E11,Epi,Mes,Prrx1/2,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI MES positive target,Bmp4,Bmp4,+,+,E11,Epi,Mes,,1993,"Vainio S, Karavanova I, Jowett A, Thesleff I. Identification of BMP-4 as a signal mediating secondary induction between epithelial and mesenchymal tissues during early tooth development. Cell 1993 vol. 75 (1) pp. 45-58"
BMP BMP4 EPI MES positive target,Bmp4,Msx1,+,+,E11,Epi,Mes,,1993,"Vainio S, Karavanova I, Jowett A, Thesleff I. Identification of BMP-4 as a signal mediating secondary induction between epithelial and mesenchymal tissues during early tooth development. Cell 1993 vol. 75 (1) pp. 45-58"
BMP BMP4 EPI MES positive target,Bmp4,Msx2,+,+,E11,Epi,Mes,,1993,"Vainio S, Karavanova I, Jowett A, Thesleff I. Identification of BMP-4 as a signal mediating secondary induction between epithelial and mesenchymal tissues during early tooth development. Cell 1993 vol. 75 (1) pp. 45-58"
BMP BMP4 EPI MES positive target,Bmp4,Egr1,+,+,E11,Epi,Mes,,1993,"Vainio S, Karavanova I, Jowett A, Thesleff I. Identification of BMP-4 as a signal mediating secondary induction between epithelial and mesenchymal tissues during early tooth development. Cell 1993 vol. 75 (1) pp. 45-58"
BMP BMP4 EPI MES positive target,Bmp4,Lef1,+,+,E11,Epi,Mes,,1996,"Kratochwil K, Dull M, Farinas I, Galceran J, Grosschedl R. Lef1 expression is activated by BMP-4 and regulates inductive tissue interactions in tooth and hair development. Genes & development 1996 vol. 10 (11) pp. 1382-94"
BMP BMP4 EPI MES positive target,Bmp4,Msx1,+,+,E11,Epi,Mes,,1998,"Bei M, Maas R. FGFs and BMP4 induce both Msx1-independent and Msx1-dependent signaling pathways in early tooth development. Development 1998 vol. 125 (21) pp. 4325-33"
BMP BMP4 EPI MES positive target,Bmp4,Dlx2,+,+,E11,Epi,Mes,,1998,"Bei M, Maas R. FGFs and BMP4 induce both Msx1-independent and Msx1-dependent signaling pathways in early tooth development. Development 1998 vol. 125 (21) pp. 4325-33"
BMP BMP4 EPI MES positive target,Bmp4,Ptch1,+,+,E11,Epi,Mes,,1999,"Zhang Y, Zhao X, Hu Y, St Amand T, Zhang M, Ramamurthy R, Qiu M, Chen Y. Msx1 is required for the induction of Patched by Sonic hedgehog in the mammalian tooth germ. Developmental dynamics 1999 vol. 215 (1) pp. 45-53"
BMP BMP4 MES EPI positive target,Bmp4,Cdkn1a,+,+,E13,Mes,Epi,,1998,"Jernvall J, Aberg T, Kettunen P, Keränen S, Thesleff I. The life history of an embryonic signaling center: BMP-4 induces p21 and is associated with apoptosis in the mouse tooth enamel knot. Development 1998 vol. 125 (2) pp. 161-9"
BMP BMP4 MES EPI positive target,Bmp4,Msx2,+,+,E13,Mes,Epi,,1998,"Jernvall J, Aberg T, Kettunen P, Keränen S, Thesleff I. The life history of an embryonic signaling center: BMP-4 induces p21 and is associated with apoptosis in the mouse tooth enamel knot. Development 1998 vol. 125 (2) pp. 161-9"
BMP BMP4 EPI EPI positive target,Bmp4,Dlx2,+,+,E10,Epi,Epi,,2000,"Thomas BL, Liu JK, Rubenstein JL, Sharpe PT. Independent regulation of Dlx2 expression in the epithelium and mesenchyme of the first branchial arch. Development 2000 vol. 127 (2) pp. 217-24"
BMP BMP4 MES EPI positive target,Bmp4,Msx2,+,+,E12,Mes,Epi,,2001,"Laurikkala J, Mikkola M, Mustonen T, Aberg T, Koppinen P, Pispa J, Nieminen P, Galceran J, Grosschedl R, Thesleff I. TNF signaling via the ligand-receptor pair ectodysplasin and edar controls the function of epithelial signaling centers and is regulated by Wnt and activin during tooth organogenesis. Developmental biology 2001 vol. 229 (2) pp. 443-55"
BMP BMP4 MES EPI positive target,Bmp4,Hes1,+,+,E13,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES EPI positive target,Bmp4,Hes1,+,+,E12,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES MES positive target,Bmp4,Dlx5,+,+,E13,Mes,Mes,,2003,"Zhang Z, Song Y, Zhang X, Tang J, Chen J, Chen Y. Msx1/Bmp4 genetic pathway regulates mammalian alveolar bone formation via induction of Dlx5 and Cbfa1. Mechanisms of development 2003 vol. 120 (12) pp. 1469-79"
BMP BMP4 EPI EPI positive target,Bmp4,Isl1,+,+,E10,Epi,Epi,,2003,"Mitsiadis TA, Angeli I, James C, Lendahl U, Sharpe PT. Role of Islet1 in the patterning of murine dentition. Development 2003 vol. 130 (18) pp. 4451-60"
BMP BMP4 EPI EPI positive target,Bmp4,Isl1,+,+,E10,Epi,Epi,,2003,"Mitsiadis TA, Angeli I, James C, Lendahl U, Sharpe PT. Role of Islet1 in the patterning of murine dentition. Development 2003 vol. 130 (18) pp. 4451-60"
BMP BMP4 MES EPI positive target,Bmp4,Cdkn1a,+,+,E15,Mes,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP4 MES EPI positive target,Bmp4,Ambn,+,+,E15,Mes,Epi,,2004,"Wang XP, Suomalainen M, Jorgez CJ, Matzuk MM, Werner S, Thesleff I. Follistatin regulates enamel patterning in mouse incisors by asymmetrically inhibiting BMP signaling and ameloblast differentiation. Developmental Cell 2004 vol. 7 (5) pp. 719-30"
BMP BMP4 MES MES positive target,Bmp4,Id1,+,+,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES MES positive target,Bmp4,Msx1,+,+,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES MES positive target,Bmp4,Msx2,+,+,E13,Mes,Mes,,2005,"Rice R, Thesleff I, Rice DP. Regulation of Twist, Snail, and Id1 is conserved between the developing murine palate and tooth. Developmental dynamics 2005 vol. 234 (1) pp. 28-35"
BMP BMP4 MES EPI positive target,Bmp4,Sostdc1,+,+,E13,Mes,Epi,,2005,"Kassai Y, Munne P, Hotta Y, Penttilä E, Kavanagh K, Ohbayashi N, Takada S, Thesleff I, Jernvall J, Itoh N. Regulation of mammalian tooth cusp patterning by ectodin. Science 2005 vol. 309 (5743) pp. 2067-70"
BMP BMP4 MES EPI positive target,Bmp4,Cdkn1a,+,+,E13,Mes,Epi,,2005,"Kassai Y, Munne P, Hotta Y, Penttilä E, Kavanagh K, Ohbayashi N, Takada S, Thesleff I, Jernvall J, Itoh N. Regulation of mammalian tooth cusp patterning by ectodin. Science 2005 vol. 309 (5743) pp. 2067-70"
BMP BMP4 EPI MES positive target,Bmp4,Msx2,+,+,E11,Epi,Mes,,2005,"Liu W, Selever J, Murali D, Sun X, Brugger SM, Ma L, Schwartz RJ, Maxson R, Furuta Y, Martin JF. Threshold-specific requirements for Bmp4 in mandibular development. Developmental biology 2005 vol. 283 (2) pp. 282-93"
BMP BMP4 EPI MES negative target,Bmp4,Pax9,+,-,E10,Epi,Mes,,1997,"Neubüser A, Peters H, Balling R, Martin GR. Antagonistic interactions between FGF and BMP signaling pathways: a mechanism for positioning the sites of tooth formation. Cell 1997 vol. 90 (2) pp. 247-55"
BMP BMP4 EPI MES negative target,Bmp4,Barx1,+,-,E10,Epi,Mes,,1998,"Tucker AS, Matthews KL, Sharpe PT. Transformation of tooth type induced by inhibition of BMP signaling. Science 1998 vol. 282 (5391) pp. 1136-8"
BMP BMP4 MES EPI negative target,Bmp4,Bmp2,+,-,E14,Mes,Epi,,2000,"Zhao X, Zhang Z, Song Y, Zhang X, Zhang Y, Hu Y, Fromm SH, Chen Y. Transgenically ectopic expression of Bmp4 to the Msx1 mutant dental mesenchyme restores downstream gene expression but represses Shh and Bmp2 in the enamel knot of wild type tooth germ. Mechanisms of development 2000 vol. 99 (1-2) pp. 29-38"
BMP BMP4 EPI MES negative target,Bmp4,Dlx2,+,-,E10,Epi,Mes,,2000,"Thomas BL, Liu JK, Rubenstein JL, Sharpe PT. Independent regulation of Dlx2 expression in the epithelium and mesenchyme of the first branchial arch. Development 2000 vol. 127 (2) pp. 217-24"
BMP BMP4 MES EPI negative target,Bmp4 AND Fgf10,Lfng,+,-,E13,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES EPI negative target,Bmp4 AND Fgf4,Lfng,+,-,E13,Mes,Epi,,2002,"Mustonen T, Tümmers M, Mikami T, Itoh N, Zhang N, Gridley T, Thesleff I. Lunatic fringe, FGF, and BMP regulate the Notch pathway during epithelial morphogenesis of teeth. Developmental biology 2002 vol. 248 (2) pp. 281-93"
BMP BMP4 MES MES negative target,Bmp4,Fgf3,+,-,E16,Mes,Mes,,2007,"Wang XP, Suomalainen M, Felszeghy S, Zelarayan LC, Alonso MT, Plikus MV, Maas RL, Chuong CM, Schimmang T, Thesleff I. An integrated gene regulatory network controls stem cell proliferation in teeth. PLoS biology 2007 vol. 5 (6) pp. e159"
BMP BMP4 EPI MES negative target,Bmp4,Pitx1,+,-,E10,Epi,Mes,,2008,"Mitsiadis TA, Drouin J. Deletion of the Pitx1 genomic locus affects mandibular tooth morphogenesis and expression of the Barx1 and Tbx1 genes. Developmental biology 2008 vol. 313 (2) pp. 887-96"
BMP BMP4 MES EPI negative target,Bmp4,Pitx1,+,-,E13,Mes,Epi,,2008,"Mitsiadis TA, Drouin J. Deletion of the Pitx1 genomic locus affects mandibular tooth morphogenesis and expression of the Barx1 and Tbx1 genes. Developmental biology 2008 vol. 313 (2) pp. 887-96"
BMP BMP4 MES EPI negative target,Bmp4,Pitx1,+,-,E14,Mes,Epi,,2008,"Mitsiadis TA, Drouin J. Deletion of the Pitx1 genomic locus affects mandibular tooth morphogenesis and expression of the Barx1 and Tbx1 genes. Developmental biology 2008 vol. 313 (2) pp. 887-96"
